VIF Factor,features
,G_Cardbattle
,G_turn_basedstrategy
2.0295260219803466,G_turn_basedtactics
,G_Hack_and_slash
1.1710842398238215,G_Runandgun
1.0449967185764806,G_Simulator
,G_Tacticalrole_playinggame
1.41582860530727,G_sandbox
,G_CombatSimulation
,G_Tactics
,G_Real_timetacticalshooter
,G_strategyside_scroller
,G_Hack_n_Slash
,G_MedievalFantasyAction
,G_Shooting
,G_flightsimulator
1.4748419252841074,G_RTS
,G_Socialsimulation
1.6656264778714807,G_Puzzlegame
,G_City_Builder
1.313389793788041,G_Spacesimulation
,G_Golf
,G_shooter
1.0353568060432792,G_First_personShooter
,G_DungeonCrawler
,G_dungeoncrawl
,G_Side_scrollingplatform
,G_shoot_emup
1.0740381933262817,G_graphicadventure
,G_3DPlatform
1.220596658745767,G_Platforming
,G_railshooter
1.0769743061753148,G_Sportsgame
,G_Turn_BasedStrategy
,G_Wrestling
1.105965301078374,G_Side_scrolling
,G_Moba
1.180784235689173,G_Turn_basedstrategy
1.0217594199890165,G_CardBattle
,G_Mecha
,G_strategy
2.061223828642519,G_collectiblecardgame
1.0329967718643347,G_Stealthaction
1.0818826630505969,G_Mechasimulationgame
1.0048266022971637,G_arcade
,G_Crossover
,G_Platformgame
,G_Computerrole_playing
1.1370742661290807,G_First_PersonShooter
1.0452928097225789,G_ActionAdventure
,G_StrategyRPG
1.2779515291008667,G_TacticalShooter
1.2710279123760178,G_Openworld
1.2300374648558736,G_Maze
1.037213199229194,G_Actionrole_playing
1.0120237972963795,G_Rhythmgame
,G_stealth
,G_Spacesimulator
1.0060723422841547,G_TBS
2.008687359346303,G_Western
1.0149746006659601,G_beat_em_up
,G_RailShooter
,G_Mystery
,G_2_5DPlatformgame
,G_Stratergy
,G_Sidescroller
1.0118878572367591,G_openworld
1.004528000073059,G_Towerdefense
1.0043915694439174,G_Psychologicalthriller
1.7252959161161243,G_Emergent
,G_Flightsimulation
,G_SideScrolling
1.002735198247069,G_Block_breaker
,G_real_timetactics
2.185154224489781,G_RunandGun
,G_space_shooter
1.0036334067348642,G_city_building
1.1214031496728707,G_Multi_directionalshooter
,G_InteractiveMovie
1.0703983807534452,G_Railshooter
,G_Textadventure
,G_real_timestrategy
,G_Spacetradingandcombatsimulator
,G_SpaceCombat
,G_PointandClick
,G_DateSimulation
1.5150363425726092,G_Action_Adventure
1.5954669378903583,G_SpaceSimulation
1.2628198526322552,G_Breakout
,G_Art
1.0671576371331861,G_beat_emup
1.051201500914311,G_MMOR
,G_Thirdpersonshooter
1.0495533219217263,G_city_buildinggame
,G_third_firstpersonshooter
,G_Third_Firstpersonshooter
1.0034028640307628,G_Thirdperson
,G_Lightgunshooter
2.1669561197964975,G_firstpersonshooter
1.4405074030160805,G_Medicalsimulation
,G_visualnovel
,G_Surgicalactiongame
1.2703021494240059,G_Racinggame
,G_First_personadventure
1.04231454063255,G_Grandstrategy
1.0644662463245493,G_Tacticalrole_playing
2.1249968038280858,G_Steampunk
,G_FlightSimulation
1.0023038127469115,G_Artillery
,G_Artillerygame
,G_Strategygame
1.0228186577654603,G_Professionalwrestling
1.0322326465634588,G_Card
1.0374660651833196,G_brawler
1.007449500496901,G_Social
1.420394145418433,Type_DLC_Expansion
1.0077441627790091,Type_Mod
,Type_ROMHack
1.188463743033313,Publishers_1CCompany
1.3677121870470736,Publishers_2KGames
1.07871012883104,Publishers_2KSports
,Publishers_3DO
1.0529288185877648,Publishers_505Games
1.0052071575285064,Publishers_Acclaim
1.0346803170300494,Publishers_AcclaimEntertainment
1.2597218129400976,Publishers_Activision
1.0464770950812219,Publishers_AdultSwimGames
1.0660139429550424,Publishers_AksysGames
1.2062956416545796,Publishers_AlawarEntertainment
1.1376460357795397,Publishers_ApogeeSoftware
1.6901545632344503,Publishers_ArtifexMundi
1.1226802804374127,Publishers_Atari
1.3024179071281523,Publishers_Atlus
1.049947558079076,Publishers_BANDAINAMCOEntertainment
,Publishers_BackToBasicsGaming
1.1454413059745558,Publishers_Bandai
1.046805135998215,Publishers_BandaiNamcoEntertainment
1.0748317648342236,Publishers_BandaiNamcoGames
1.4906625072385085,Publishers_BethesdaSoftworks
2.508613410745576,Publishers_Capcom
1.043069536531521,Publishers_D3Publisher
1.0489965844709845,Publishers_DaedalicEntertainment
1.0745242288495347,Publishers_DeepSilver
,Publishers_Degica
1.1103473898140281,Publishers_DevolverDigital
1.107830542325523,Publishers_DisneyInteractiveStudios
1.2728479531605534,Publishers_EAGames
1.30443421322473,Publishers_EASports
1.1878809079959276,Publishers_EidosInteractive
1.460865736982327,Publishers_ElectronicArts
1.0499083387438621,Publishers_FocusHomeInteractive
1.0075182749343858,Publishers_ForeverEntertainment
1.0392913958057035,Publishers_GTInteractive
1.0087150778654106,Publishers_GrabTheGames
1.0079413805362014,Publishers_HeadupGames
1.3364940162877417,Publishers_HudsonSoft
1.435365049827757,Publishers_HumongousEntertainment
1.1848694372793562,Publishers_IcebergInteractive
1.6413718745377868,Publishers_Infogrames
1.0090383732307835,Publishers_Interplay
1.0240364315942607,Publishers_InterplayEntertainment
1.443697332540684,Publishers_Jaleco
1.297912963840074,Publishers_KISS
1.960878727768588,Publishers_KalypsoMedia
1.9330931198389945,Publishers_Koei
2.8049352979790663,Publishers_Konami
1.833776181149504,Publishers_LucasArts
1.1039067192602485,Publishers_MangaGamer
1.2281879762663823,Publishers_Meridian4
1.0334072436054849,Publishers_MicroProse
1.3417627655892657,Publishers_MicrosoftGameStudios
1.2247840709195807,Publishers_MicrosoftStudios
1.039903908433976,Publishers_Midway
1.0175077561337167,Publishers_MidwayGames
1.33696137790622,Publishers_NISAmerica
1.7155978923318913,Publishers_Namco
1.12326393488974,Publishers_NamcoBandai
1.4022145047730543,Publishers_NamcoBandaiGames
1.0183494882342712,Publishers_Natsume
2.5081444374565907,Publishers_Nintendo
1.0097035212588494,Publishers_NordicGames
2.7158998687684113,Publishers_OtherPublishers
1.1368906638392202,Publishers_ParadoxInteractive
1.0407415333573218,Publishers_PlugInDigital
3.074942877495948,Publishers_PopCapGames
1.0095610861638031,Publishers_Psygnosis
1.2015940582556583,Publishers_RockstarGames
1.0716286324620965,Publishers_SCEA
4.5839783328624275,Publishers_SNK
1.8219739222199574,Publishers_Sega
1.2479105903082608,Publishers_SekaiProject
1.0060525363450337,Publishers_Sierra
1.0539399353940855,Publishers_SierraEntertainment
1.0132064516021018,Publishers_SierraOn_Line
1.0082636379304897,Publishers_SometimesYou
1.5064652681336177,Publishers_SonyComputerEntertainment
1.2959902101571577,Publishers_SonyInteractiveEntertainment
2.3297295210588365,Publishers_Square
1.6215786374859853,Publishers_SquareEnix
1.0261248593108554,Publishers_StrategyFirst
1.102276680537584,Publishers_Sunsoft
1.183710874466337,Publishers_THQ
1.0691299859706274,Publishers_THQNordic
3.3941487539373507,Publishers_Taito
1.0212277782442798,Publishers_Team17Digital
3.0475306237490716,Publishers_Tecmo
1.4472073734864188,Publishers_TecmoKoei
,Publishers_TurnerBroadcastingSystem
1.954947202582452,Publishers_Ubisoft
1.5620771900045665,Publishers_ValveCorporation
2.829150061707641,Publishers_Various
1.033444479780166,Publishers_VirginInteractive
1.0375939290295986,Publishers_VivaMedia
1.128540548691259,Publishers_WarnerBros_InteractiveEntertainment
1.0295475021394496,Publishers_tinyBuild
,Developers_Activision
1.2025461528581123,Developers_ArcSystemWorks
,Developers_Atari
1.5478031465478905,Developers_Atlus
1.3449754531442226,Developers_BethesdaGameStudios
1.2101621392035615,Developers_BioWare
1.140110000959236,Developers_BlizzardEntertainment
2.394687475871379,Developers_Capcom
1.3341955958695169,Developers_Codemasters
1.1247454584454375,Developers_CoreDesign
1.3351020315362485,Developers_CyberConnect2
1.545210903723776,Developers_DataEast
1.1286074162925428,Developers_DoubleFineProductions
1.2535860153808234,Developers_EACanada
1.4992730066541302,Developers_EATiburon
1.071553984848136,Developers_ElectronicArts
1.17189502525324,Developers_Eurocom
1.144938281590371,Developers_FromSoftware
1.7645688274550342,Developers_GameFreak
1.236242317652823,Developers_GearboxSoftware
1.228004077933715,Developers_Gust
1.2341236725669538,Developers_HALLaboratory
1.9618261008969484,Developers_HaemimontGames
,Developers_HerInteractive
1.6301538019587665,Developers_HudsonSoft
1.6254335611078516,Developers_HumongousEntertainment
1.2425651251155332,Developers_InsomniacGames
1.194045073789869,Developers_IntelligentSystems
2.830068915652673,Developers_Konami
1.80801338147685,Developers_LucasArts
1.0926517776839895,Developers_MumboJumbo
1.8800401210221294,Developers_Namco
1.3718815713341483,Developers_NamcoBandaiGames
1.709246749223285,Developers_Natsume
1.0218513242062663,Developers_NewWorldComputing
1.054814559387337,Developers_NihonFalcom
